"學年度","學校代碼","學校名稱","科系代碼","科系名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男生","一年級女生","二年級男生","二年級女生","三年級男生","三年級女生","四年級男生","四年級女生","五年級男生","五年級女生","六年級男生","六年級女生","七年級男生","七年級女生","延修生男生","延修生女生","縣市名稱","體系別"
112,0001,國立政治大學,01111001,教育學系,D 日,D 博士,105,51,54,9,10,7,7,9,12,11,9,4,8,7,5,4,3,0,0,30 臺北市,1 一般
112,0001,國立政治大學,01111001,教育學系,D 日,M 碩士,41,9,32,2,10,6,8,1,6,0,8,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,01111001,教育學系,D 日,B 學士,212,70,142,18,35,14,33,15,33,16,30,0,0,0,0,0,0,7,11,30 臺北市,1 一般
112,0001,國立政治大學,01114005,教育行政與政策研究所,D 日,M 碩士,48,16,32,8,9,3,10,3,8,2,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,01114006,學校行政碩士在職專班,N 職,M 碩士,89,27,62,7,16,7,14,9,17,3,10,1,5,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,01121004,幼兒教育研究所,D 日,M 碩士,43,3,40,0,12,2,10,1,7,0,11,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02211019,宗教研究所,D 日,D 博士,26,15,11,2,1,3,1,3,3,3,1,3,2,0,1,1,2,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02211019,宗教研究所,D 日,M 碩士,26,11,15,1,5,6,3,2,2,2,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02221020,歷史學系,D 日,D 博士,26,18,8,2,2,5,1,2,0,2,1,2,0,2,1,3,3,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02221020,歷史學系,D 日,M 碩士,54,40,14,8,4,8,1,10,4,14,5,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,02221020,歷史學系,D 日,B 學士,176,93,83,26,20,18,22,22,21,20,13,0,0,0,0,0,0,7,7,30 臺北市,1 一般
112,0001,國立政治大學,02221021,台灣史研究所,D 日,D 博士,18,8,10,1,2,0,3,2,1,2,1,0,1,1,1,2,1,0,0,30 臺北市,1 一般
